ANO_EMISSAO;MES_MISSAO;UF;MUNICIPIO;TIPO;STATUS;ABRANGENCIA;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;TOTAL
2004;8;PE;CARUARU;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2004;12;GO;GOIÂNIA;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2005;1;RS;PASSO FUNDO;Defesa Pessoal;Vencido;Estadual;Revolver;TAURUS ARMAS S.A.;.38;M;1
2005;1;RS;PORTO ALEGRE;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2005;5;RS;CANOAS;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2006;7;RJ;RIO DE JANEIRO;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;1;RJ;RIO DE JANEIRO;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;3;GO;CIDADE OCIDENTAL;Defesa Pessoal;Cancelado;Nacional;Pistola;GLOCK GMBH (ÁUSTRIA);.380;M;1
2007;3;MT;CUIABÁ;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;4;AL;ATALAIA;Defesa Pessoal;Vencido;Nacional;Pistola;GLOCK GMBH (ÁUSTRIA);.380;M;1
2007;4;AL;CAPELA;Defesa Pessoal;Vencido;Regional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;4;AL;MACEIÓ;Defesa Pessoal;Vencido;Nacional;Pistola;GLOCK GMBH (ÁUSTRIA);.380;M;1
2007;4;AL;MACEIÓ;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;4;CE;FORTALEZA;Defesa Pessoal;Vencido;Nacional;Revolver;ROSSI (AMADEO ROSSI S.A.);.38;M;1
2007;4;DF;BRASÍLIA;Defesa Pessoal;Vencido;Regional;Revolver;TAURUS ARMAS S.A.;.38;M;1
2007;4;GO;GOIÂNIA;Defesa Pessoal;Vencido;Nacional;Pistola;GLOCK GMBH (ÁUSTRIA);.380;M;1
2007;4;GO;TRINDADE;Defesa Pessoal;Vencido;Nacional;Revolver;ROSSI (AMADEO ROSSI S.A.);.38;M;1
2007;4;MG;BELO HORIZONTE;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;4;MG;GOVERNADOR VALADARES;Defesa Pessoal;Cancelado;Nacional;Revolver;ROSSI (AMADEO ROSSI S.A.);.38;M;1
2007;4;MG;RUBIM;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;4;MG;SANTA LUZIA;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;4;PB;JOÃO PESSOA;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;4;PE;RECIFE;Defesa Pessoal;Vencido;Estadual;Revolver;COLT;.38;M;1
2007;4;RJ;CABO FRIO;Defesa Pessoal;Vencido;Nacional;Revolver;TAURUS ARMAS S.A.;.38;M;1
2007;4;RJ;SAQUAREMA;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;4;RS;PASSO FUNDO;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;4;RS;TUPANCIRETÃ;Defesa Pessoal;Vencido;Estadual;Revolver;TAURUS ARMAS S.A.;.32;M;1
2007;4;SP;ATIBAIA;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;4;SP;CAMPINAS;Defesa Pessoal;Vencido;Nacional;Pistola;GLOCK GMBH (ÁUSTRIA);.380;M;1
2007;4;SP;SÃO PAULO;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;AC;RIO BRANCO;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;AL;ARAPIRACA;Defesa Pessoal;Vencido;Regional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;AL;MACEIÓ;Defesa Pessoal;Vencido;Nacional;Pistola;GLOCK GMBH (ÁUSTRIA);.380;M;1
2007;5;AL;MACEIÓ;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;3
2007;5;AL;MACEIÓ;Defesa Pessoal;Vencido;Regional;Pistola;TAURUS ARMAS S.A.;.380;M;2
2007;5;AL;MACEIÓ;Defesa Pessoal;Vencido;Regional;Revolver;TAURUS ARMAS S.A.;.38;M;1
2007;5;BA;FEIRA DE SANTANA;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;CE;CRATO;Defesa Pessoal;Vencido;Regional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;CE;FORTALEZA;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;CE;FORTALEZA;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;CE;FORTALEZA;Defesa Pessoal;Vencido;Nacional;Revolver;TAURUS ARMAS S.A.;.38;M;2
2007;5;CE;FORTALEZA;Defesa Pessoal;Vencido;Regional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;DF;BRASÍLIA;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;6,35mm;M;1
2007;5;DF;BRASÍLIA;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;2
2007;5;DF;BRASÍLIA;Defesa Pessoal;Vencido;Nacional;Revolver;INA (INDÚSTRIA NACIONAL DE ARMAS);.38;M;1
2007;5;DF;BRASÍLIA;Defesa Pessoal;Vencido;Nacional;Revolver;ROSSI (AMADEO ROSSI S.A.);.38;M;2
2007;5;DF;BRASÍLIA;Defesa Pessoal;Vencido;Nacional;Revolver;SMITH & WESSON;.38;M;1
2007;5;DF;BRASÍLIA;Defesa Pessoal;Vencido;Nacional;Revolver;TAURUS ARMAS S.A.;.38;M;2
2007;5;ES;AFONSO CLÁUDIO;Defesa Pessoal;Vencido;Nacional;Revolver;ROSSI (AMADEO ROSSI S.A.);.38;M;1
2007;5;ES;VITÓRIA;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;GO;APARECIDA DE GOIÂNIA;Defesa Pessoal;Vencido;Estadual;Revolver;TAURUS ARMAS S.A.;.38;M;1
2007;5;GO;SÃO LUÍS DE MONTES BELOS;Defesa Pessoal;Cancelado;Regional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;MA;CENTRO DO GUILHERME;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;F;1
2007;5;MG;BELO HORIZONTE;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;3
2007;5;MG;BELO HORIZONTE;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;MG;BELO HORIZONTE;Defesa Pessoal;Vencido;Nacional;Revolver;SMITH & WESSON;.38;M;1
2007;5;MG;BETIM;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;MG;CARATINGA;Defesa Pessoal;Vencido;Nacional;Pistola;GLOCK GMBH (ÁUSTRIA);.380;M;1
2007;5;MG;PASSOS;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;MG;RIBEIRÃO DAS NEVES;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;MG;RIBEIRÃO DAS NEVES;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;MG;SANTA LUZIA;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;2
2007;5;MT;CUIABÁ;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;MT;CUIABÁ;Defesa Pessoal;Vencido;Nacional;Pistola;GLOCK GMBH (ÁUSTRIA);.380;M;1
2007;5;MT;CUIABÁ;Defesa Pessoal;Vencido;Nacional;Revolver;TAURUS ARMAS S.A.;.38;M;1
2007;5;MT;CUIABÁ;Defesa Pessoal;Vencido;Regional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;PE;PETROLINA;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;PE;RECIFE;Defesa Pessoal;Vencido;Estadual;Revolver;TAURUS ARMAS S.A.;.38;M;1
2007;5;PE;RECIFE;Defesa Pessoal;Vencido;Regional;Revolver;TAURUS ARMAS S.A.;.38;M;1
2007;5;PE;SALGUEIRO;Defesa Pessoal;Vencido;Nacional;Revolver;ROSSI (AMADEO ROSSI S.A.);.38;M;1
2007;5;PR;CAMPO LARGO;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;PR;CURITIBA;Defesa Pessoal;Vencido;Estadual;Pistola;GLOCK GMBH (ÁUSTRIA);.380;F;1
2007;5;PR;CURITIBA;Defesa Pessoal;Vencido;Nacional;Revolver;SMITH & WESSON;.38;M;1
2007;5;PR;FOZ DO IGUAÇU;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;F;1
2007;5;PR;GUAÍRA;Defesa Pessoal;Vencido;Nacional;Pistola;CZ (CESKOSLOVENSKA ZBROJOVKA);.380;M;1
2007;5;RJ;DUQUE DE CAXIAS;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;RJ;DUQUE DE CAXIAS;Defesa Pessoal;Vencido;Nacional;Revolver;TAURUS ARMAS S.A.;.38;M;1
2007;5;RJ;MARICÁ;Defesa Pessoal;Vencido;Nacional;Revolver;TAURUS ARMAS S.A.;.38;M;1
2007;5;RJ;NILÓPOLIS;Defesa Pessoal;Vencido;Nacional;Pistola;IMBEL;.380;M;1
2007;5;RJ;NITERÓI;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;RJ;NOVA IGUAÇU;Defesa Pessoal;Vencido;Nacional;Revolver;ROSSI (AMADEO ROSSI S.A.);.38;M;1
2007;5;RJ;RIO DE JANEIRO;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;F;1
2007;5;RJ;RIO DE JANEIRO;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;4
2007;5;RJ;RIO DE JANEIRO;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;7,65mm;M;1
2007;5;RJ;RIO DE JANEIRO;Defesa Pessoal;Vencido;Nacional;Revolver;TAURUS ARMAS S.A.;.38;M;2
2007;5;RJ;SÃO PEDRO DA ALDEIA;Defesa Pessoal;Cancelado;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;RO;ARIQUEMES;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;RS;ALVORADA;Defesa Pessoal;Vencido;Nacional;Revolver;TAURUS ARMAS S.A.;.38;M;1
2007;5;RS;CANOAS;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;RS;CANOAS;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;RS;NOVA SANTA RITA;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;RS;PORTO ALEGRE;Defesa Pessoal;Vencido;Estadual;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;RS;PORTO ALEGRE;Defesa Pessoal;Vencido;Estadual;Revolver;TAURUS ARMAS S.A.;.38;M;1
2007;5;RS;PORTO ALEGRE;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;4
2007;5;SC;FLORIANÓPOLIS;Defesa Pessoal;Cancelado;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;SC;FLORIANÓPOLIS;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;1
2007;5;SC;FLORIANÓPOLIS;Defesa Pessoal;Vencido;Nacional;Revolver;TAURUS ARMAS S.A.;.38;M;2
2007;5;SE;ARACAJU;Defesa Pessoal;Vencido;Nacional;Pistola;TAURUS ARMAS S.A.;.380;M;2
